frY;frI;frC;frS;frEx;FrImp;frH;frP;frR;grY;grI;grC;grS;grEx;grImp;grH;grP;grR
0.821438914;0.204887079;0.70623034;0.530525377;0.149322045;0.182518109;2.897784197;0.014352669;0.093669;0.881317363;0.302265388;0.607487048;0.607487048;0.337817106;0.313086371;2.965243902;0.012172688;0.0876
0.823439535;0.200121942;0.706465825;0.53262196;0.094631101;0.114589561;2.896480292;0.014062381;0.098938;0.884419377;0.313686989;0.621626022;0.621626022;0.2526518;0.256857038;2.960335138;0.014096789;0.0879
0.824310985;0.197616025;0.706685724;0.532099622;0.097582887;0.119255628;2.895515602;0.013690645;0.092063;0.877826687;0.294996184;0.61629422;0.61629422;0.26652212;0.255434067;2.955925659;0.019172466;0.0907
0.824612486;0.185555912;0.708840497;0.533876049;0.121200195;0.13628774;2.89427999;0.01285841;0.100726;0.884577206;0.29962306;0.613721244;0.613721244;0.29495819;0.265886433;2.957167912;0.023270462;0.0923
0.828503792;0.19001954;0.710353597;0.536230297;0.134073292;0.138115589;2.892719721;0.011912302;0.099315;0.888731283;0.309316713;0.620219327;0.620219327;0.290897579;0.267929739;2.956862039;0.024940465;0.0962
0.8254557;0.169854401;0.710850707;0.534069405;0.137025434;0.132996895;2.891675432;0.011715863;0.099417;0.886735131;0.306426496;0.623210646;0.623210646;0.26635279;0.250825398;2.956351522;0.025691028;0.0965
0.826163278;0.158075189;0.716065597;0.537287033;0.159382023;0.160401067;2.890010836;0.009170592;0.135292;0.886170835;0.278417925;0.633210602;0.633210602;0.31738453;0.284926588;2.949805825;0.021013507;0.0932
0.824035028;0.139508195;0.718725356;0.537518565;0.124004809;0.124701734;2.8871013;0.007827174;0.100484;0.886869058;0.288963685;0.627839555;0.627839555;0.271575046;0.251718786;2.943854418;0.014253423;0.0891
0.822097934;0.126098322;0.715183074;0.535470242;0.102108373;0.102700369;2.883971594;0.009195833;0.110141;0.876103811;0.249369279;0.613901215;0.613901215;0.225331457;0.18050242;2.940223573;0.019805863;0.0834
0.81969382;0.10392186;0.717077861;0.533004331;0.114542351;0.108718571;2.881848697;0.008708505;0.076813;0.877829405;0.266605276;0.615940057;0.615940057;0.215514311;0.175208276;2.937092892;0.018647062;0.0782
0.819357284;0.096385466;0.717313332;0.532207995;0.094449141;0.081867679;2.881022703;0.009259248;0.073229;0.877000785;0.267811709;0.614925432;0.614925432;0.200334958;0.163722402;2.935135768;0.019296661;0.0699
