grY;grI;grC;grS;grEx;grImp;grH;grP;grR
0.881317363;0.302265388;0.607487048;0.607487048;0.337817106;0.313086371;2.965243902;0.012172688;0.0876
0.884419377;0.313686989;0.621626022;0.621626022;0.2526518;0.256857038;2.960335138;0.014096789;0.0879
0.877826687;0.294996184;0.61629422;0.61629422;0.26652212;0.255434067;2.955925659;0.019172466;0.0907
0.884577206;0.29962306;0.613721244;0.613721244;0.29495819;0.265886433;2.957167912;0.023270462;0.0923
0.888731283;0.309316713;0.620219327;0.620219327;0.290897579;0.267929739;2.956862039;0.024940465;0.0962
0.886735131;0.306426496;0.623210646;0.623210646;0.26635279;0.250825398;2.956351522;0.025691028;0.0965
0.886170835;0.278417925;0.633210602;0.633210602;0.31738453;0.284926588;2.949805825;0.021013507;0.0932
0.886869058;0.288963685;0.627839555;0.627839555;0.271575046;0.251718786;2.943854418;0.014253423;0.0891
0.876103811;0.249369279;0.613901215;0.613901215;0.225331457;0.18050242;2.940223573;0.019805863;0.0834
0.877829405;0.266605276;0.615940057;0.615940057;0.215514311;0.175208276;2.937092892;0.018647062;0.0782
0.877000785;0.267811709;0.614925432;0.614925432;0.200334958;0.163722402;2.935135768;0.019296661;0.0699
0.879206632;0.253804171;0.617203435;0.617203435;0.214557444;0.165375753;2.931957837;0.018304847;0.0619
0.881719749;0.261195001;0.615727913;0.615727913;0.207913745;0.162029875;2.934545273;0.012719266;0.0599
0.882217429;0.266787647;0.611195001;0.611195001;0.244210104;0.188261859;2.933298176;0.01187888;0.0514
0.883764231;0.276799564;0.612758961;0.612758961;0.268188187;0.221662147;2.934612557;0.011070127;0.0481
0.891016838;0.294866734;0.618789512;0.618789512;0.284122459;0.242576901;2.936575049;0.010514332;0.049
0.886954066;0.280051273;0.618659403;0.618659403;0.313947626;0.263903453;2.935359582;0.008939795;0.0479
0.891480691;0.286988421;0.621925086;0.621925086;0.341819699;0.288964566;2.934493944;0.007442637;0.0455
0.892630212;0.280510342;0.623531841;0.623531841;0.329333739;0.277633951;2.936029897;0.006688538;0.042
0.893614434;0.271754233;0.627027224;0.627027224;0.338435686;0.283299626;2.933848092;0.006332254;0.0408
0.886391852;0.251338617;0.620507887;0.620507887;0.327700199;0.277096668;2.928924483;0.006274746;0.0338
0.889932077;0.26697617;0.618003979;0.618003979;0.30893873;0.255655144;2.931903442;0.006254092;0.0334
0.890988507;0.256623806;0.619851473;0.619851473;0.328318947;0.264841875;2.931319868;0.005879769;0.0309
0.895428698;0.271821609;0.620507853;0.620507853;0.336439843;0.272424486;2.9292119;0.0065952;0.0311
0.88747064;0.253560017;0.61483467;0.61483467;0.30707301;0.254172518;2.925403009;0.007586893;0.0315
0.890863176;0.25958422;0.613712179;0.613712179;0.302108981;0.241278654;2.928635454;0.006689711;0.0307
0.8904909;0.258484366;0.609815747;0.609815747;0.300907818;0.236485702;2.929022922;0.009972154;0.031
0.895375148;0.270836191;0.613951634;0.613951634;0.319710985;0.253408628;2.928117429;0.009102837;0.0344
0.897590443;0.280801303;0.61372779;0.61372779;0.314994066;0.25711954;2.927918662;0.005388554;0.0345
0.896682694;0.278038336;0.617056336;0.617056336;0.325993447;0.26121947;2.929930864;0.005899416;0.0347
0.898473638;0.278203949;0.619309806;0.619309806;0.324375011;0.263637689;2.932510957;0.002586634;0.0348
