Y;C;I;J;W;P;R
0.035229842;-0.143536;-0.634628;-0.680409141;-0.345866;0.01399689;0.04393645
0.022929936;-0.14354;-0.646866;-0.679286771;-0.347037;0.015337423;0.042262577
0.028909447;-0.147504;-0.645583;-0.6781644;-0.350235;-0.001510574;0.057277244
0.019884153;-0.148942;-0.634497;-0.67704203;-0.347906;0.015128593;0.040104747
0.01924218;-0.147727;-0.634912;-0.675919659;-0.343812;0.007451565;0.048481765
0.023619428;-0.145853;-0.620218;-0.676449862;-0.342543;0;0.05493333
0.009506012;-0.140488;-0.61703;-0.676980066;-0.333497;-0.00443787;0.0588712
0.025110664;-0.142556;-0.612726;-0.677510269;-0.331281;0.017830609;0.037636061
0.02645835;-0.143234;-0.611666;-0.678040472;-0.329302;0.026277372;0.029589298
0.041609301;-0.14271;-0.61481;-0.676877424;-0.333259;0.009957326;0.044742674
0.026215303;-0.141848;-0.620566;-0.675714376;-0.332038;0.009859155;0.043540845
0.024686941;-0.141464;-0.614239;-0.674551327;-0.329609;0.005578801;0.047821199
0.025139665;-0.143103;-0.621419;-0.673388279;-0.326118;0.019417476;0.034115854
0.000817439;-0.133215;-0.623509;-0.673633948;-0.309387;0.021768707;0.031331293
0.071467465;-0.141185;-0.602667;-0.673879616;-0.323507;0.011984021;0.040982649
0.043323593;-0.144002;-0.593576;-0.674125284;-0.329779;0.015789474;0.038143856
0.006880175;-0.137578;-0.595828;-0.674370952;-0.320225;0.005181347;0.049185313
0.031988873;-0.141415;-0.592446;-0.673432228;-0.321187;0.005154639;0.049578691
0.01464901;-0.143522;-0.591065;-0.672493503;-0.317229;0.003846154;0.050353846
0.026103026;-0.147376;-0.58387;-0.671554778;-0.319352;0.010217114;0.044449556
0.02239982;-0.148199;-0.580013;-0.670616054;-0.319191;0.002528445;0.057671555
0.013266542;-0.150439;-0.582116;-0.670935824;-0.317696;0.008827238;0.054072762
0.022437116;-0.148911;-0.577739;-0.671255594;-0.319509;0.02125;0.04051667
0.019713071;-0.148474;-0.584214;-0.671575365;-0.320208;-0.009791922;0.073025252
0.018394039;-0.150946;-0.576935;-0.671895135;-0.320388;0.007416564;0.056250106
0.01775481;-0.149684;-0.575694;-0.671836925;-0.320111;0.007361963;0.057938037
0.027097682;-0.151454;-0.574669;-0.671778715;-0.322915;0.006090134;0.060476536
0.018257465;-0.153089;-0.573051;-0.671720505;-0.322447;0.007263923;0.060369407
0.016439937;-0.150102;-0.575394;-0.671662295;-0.320156;0.007211538;0.059955132
0.02511232;-0.149701;-0.568823;-0.673103403;-0.320159;0.007159905;0.059840095
0.015408747;-0.150304;-0.567592;-0.674544511;-0.320687;0.003554502;0.063178828
0.022262608;-0.151004;-0.567351;-0.67598562;-0.322799;0.0094451;0.05792157
